CALLE,SUPERFICIE,PRECIOUSD,PRECIOPESOS,USDM2,ANTIG,EN_GALERIA,COTIZ,TRIMESTRE,BARRIO,COMUNA
ARENALES 1264,20,212000,13356000,10600,15,NO,63,PRIMER,RETIRO,1
ARENALES 800,130,385000,24255000,2962,35,NO,63,PRIMER,RETIRO,1
ARENALES 900,60,155000,9765000,2583,0,NO,63,PRIMER,RETIRO,1
ARENALES 900,73,250000,15750000,3425,0,NO,63,PRIMER,RETIRO,1
ARENALES 961,67,240000,15120000,3582,19,NO,63,PRIMER,RETIRO,1
ARENALES 961,67,250000,15750000,3731,38,NO,63,PRIMER,RETIRO,1
CERRITO 1000,65,490000,30870000,7538,0,SI,63,PRIMER,RETIRO,1
CERRITO 1062,112,450000,28350000,4018,20,NO,63,PRIMER,RETIRO,1
CERRITO 1100,38,460000,28980000,12105,50,NO,63,PRIMER,RETIRO,1
CERRITO 1100,448,2000000,126000000,4464,43,NO,63,PRIMER,RETIRO,1
CERRITO 1300,30,210000,13230000,7000,0,NO,63,PRIMER,RETIRO,1
CERRITO 1332,80,235000,14805000,2938,65,NO,63,PRIMER,RETIRO,1
CORDOBA 1100,200,1800000,113400000,9000,0,SI,63,PRIMER,RETIRO,1
CORDOBA 1300,217,638000,40194000,2940,0,NO,63,PRIMER,RETIRO,1
DEL LIBERTADOR 200,84,350000,22050000,4167,0,NO,63,PRIMER,RETIRO,1
DEL LIBERTADOR 264,82,210000,13230000,2561,0,NO,63,PRIMER,RETIRO,1
FLORIDA 1000,114,490000,30870000,4298,0,NO,63,PRIMER,RETIRO,1
FLORIDA 816,190,1990000,125370000,10474,30,NO,63,PRIMER,RETIRO,1
FLORIDA 838,24,60000,3780000,2500,60,NO,63,PRIMER,RETIRO,1
FLORIDA 860,18,32000,2016000,1778,73,NO,63,PRIMER,RETIRO,1
FLORIDA 880,25,44000,2772000,1760,40,NO,63,PRIMER,RETIRO,1
FLORIDA 943,26,29500,1858500,1135,0,NO,63,PRIMER,RETIRO,1
JUNCAL 1200,45,240000,15120000,5333,0,NO,63,PRIMER,RETIRO,1
JUNCAL 1300,45,290000,18270000,6444,0,NO,63,PRIMER,RETIRO,1
JUNCAL 1341,36,230000,14490000,6389,0,NO,63,PRIMER,RETIRO,1
JUNCAL 900,70,330000,20790000,4714,0,NO,63,PRIMER,RETIRO,1
LIBERTAD 1000,58,280000,17640000,4828,70,NO,63,PRIMER,RETIRO,1
LIBERTAD 1300,51,398000,25074000,7804,35,NO,63,PRIMER,RETIRO,1
LIBERTAD 1300,39,380000,23940000,9744,5,NO,63,PRIMER,RETIRO,1
LIBERTAD 900,708,1400000,88200000,1977,0,NO,63,PRIMER,RETIRO,1
MAIPU 834,208,420000,26460000,2019,20,NO,63,PRIMER,RETIRO,1
MAIPU 872,100,230000,14490000,2300,50,NO,63,PRIMER,RETIRO,1
MAIPU 900,310,700000,44100000,2258,0,NO,63,PRIMER,RETIRO,1
MAIPU 900,81,298000,18774000,3679,5,NO,63,PRIMER,RETIRO,1
PARAGUAY 1400,131,250000,15750000,1908,0,SI,63,PRIMER,RETIRO,1
PARAGUAY 1400,114,298000,18774000,2614,40,NO,63,PRIMER,RETIRO,1
PARAGUAY 400,425,700000,44100000,1647,20,NO,63,PRIMER,RETIRO,1
PARAGUAY 500,291,690000,43470000,2371,0,NO,63,PRIMER,RETIRO,1
PARAGUAY 500,154,370000,23310000,2403,0,NO,63,PRIMER,RETIRO,1
PARAGUAY 555,165,550000,34650000,3333,50,NO,63,PRIMER,RETIRO,1
PARAGUAY 700,170,225000,14175000,1324,40,NO,63,PRIMER,RETIRO,1
PARAGUAY 700,187,760000,47880000,4064,0,NO,63,PRIMER,RETIRO,1
PARAGUAY 727,220,349000,21987000,1586,20,NO,63,PRIMER,RETIRO,1
PARAGUAY 800,290,490000,30870000,1690,40,NO,63,PRIMER,RETIRO,1
PARAGUAY 900,48,75000,4725000,1562,40,NO,63,PRIMER,RETIRO,1
PARERA 100,75,590000,37170000,7867,0,NO,63,PRIMER,RETIRO,1
PELLEGRINI CARLOS 1255,131,750000,47250000,5725,20,NO,63,PRIMER,RETIRO,1
POSADAS 1100,31,290000,18270000,9355,25,NO,63,PRIMER,RETIRO,1
SAN MARTIN 1000,81,290000,18270000,3580,0,SI,63,PRIMER,RETIRO,1
SANTA FE 1100,25,25000,1575000,1000,40,NO,63,PRIMER,RETIRO,1
SANTA FE 1100,93,1000000,63000000,10753,30,NO,63,PRIMER,RETIRO,1
SANTA FE 1100,19,38000,2394000,2000,0,NO,63,PRIMER,RETIRO,1
SANTA FE 1100,62,429000,27027000,6919,40,SI,63,PRIMER,RETIRO,1
SANTA FE 1200,19,42500,2677500,2237,20,SI,63,PRIMER,RETIRO,1
SANTA FE 1200,16,38000,2394000,2375,40,SI,63,PRIMER,RETIRO,1
SANTA FE 900,65,570000,35910000,8769,40,NO,63,PRIMER,RETIRO,1
SUIPACHA 1000,100,250000,15750000,2500,45,NO,63,PRIMER,RETIRO,1
SUIPACHA 1300,84,290000,18270000,3452,20,NO,63,PRIMER,RETIRO,1
SUIPACHA 900,172,329000,20727000,1913,50,NO,63,PRIMER,RETIRO,1
SUIPACHA 931,48,40000,2520000,833,45,NO,63,PRIMER,RETIRO,1
TALCAHUANO 1000,375,650000,40950000,1733,30,NO,63,PRIMER,RETIRO,1
TALCAHUANO 1000,107,420000,26460000,3925,40,NO,63,PRIMER,RETIRO,1
TALCAHUANO 1000,100,490000,30870000,4900,40,NO,63,PRIMER,RETIRO,1
TALCAHUANO 1018,140,550000,34650000,3929,45,NO,63,PRIMER,RETIRO,1
TALCAHUANO 1087,63,340000,21420000,5397,0,NO,63,PRIMER,RETIRO,1
TALCAHUANO 1100,124,395000,24885000,3185,40,NO,63,PRIMER,RETIRO,1
TALCAHUANO 1100,894,500000,31500000,559,19,NO,63,PRIMER,RETIRO,1
TALCAHUANO 1200,247,300000,18900000,1215,50,NO,63,PRIMER,RETIRO,1
TALCAHUANO 1221,270,300000,18900000,1111,60,NO,63,PRIMER,RETIRO,1
TRES SARGENTOS 300,480,1800000,113400000,3750,119,NO,63,PRIMER,RETIRO,1
TRES SARGENTOS 454,230,450000,28350000,1957,0,NO,63,PRIMER,RETIRO,1
URUGUAY 1200,90,360000,22680000,4000,50,NO,63,PRIMER,RETIRO,1
URUGUAY 858,44,250000,15750000,5682,0,NO,63,PRIMER,RETIRO,1
URUGUAY 871,17,120000,7560000,7059,40,NO,63,PRIMER,RETIRO,1
ARTIGAS JOSE GERVASIO DE  3800,313,360000,22680000,1150,30,NO,63,PRIMER,AGRONOMIA,15
ASUNCION 2600,195,234900,14798700,1205,50,NO,63,PRIMER,AGRONOMIA,15
MORAN PEDRO 2493,25,98500,6205500,3940,40,NO,63,PRIMER,AGRONOMIA,15
SAN MARTIN 4630,39,125000,7875000,3205,2,SI,63,PRIMER,AGRONOMIA,15
SAN MARTIN 6100,100,285000,17955000,2850,0,SI,63,PRIMER,AGRONOMIA,15
SAN MARTIN 6100,65,189000,11907000,2908,40,SI,63,PRIMER,AGRONOMIA,15
SAN MARTIN 6212,48,120000,7560000,2500,50,NO,63,PRIMER,AGRONOMIA,15
ALBERDI JUAN BAUTISTA 1200,54,250000,15750000,4630,1,NO,63,PRIMER,CABALLITO,6
ALBERDI JUAN BAUTISTA 1337,124,220000,13860000,1774,19,NO,63,PRIMER,CABALLITO,6
ALBERDI JUAN BAUTISTA 617,122,230000,14490000,1885,60,NO,63,PRIMER,CABALLITO,6
ALBERDI JUAN BAUTISTA 617,121,230000,14490000,1901,65,NO,63,PRIMER,CABALLITO,6
ALBERDI JUAN BAUTISTA 764,150,480000,30240000,3200,40,NO,63,PRIMER,CABALLITO,6
AMBROSETTI JUAN B. 300,45,260000,16380000,5778,60,NO,63,PRIMER,CABALLITO,6
ARANGUREN JUAN F.  DR. 400,85,140000,8820000,1647,37,SI,63,PRIMER,CABALLITO,6
AVELLANEDA 392,165,210000,13230000,1273,45,NO,63,PRIMER,CABALLITO,6
AVELLANEDA 900,40,109900,6923700,2748,22,NO,63,PRIMER,CABALLITO,6
BACACAY 1600,140,220000,13860000,1571,25,NO,63,PRIMER,CABALLITO,6
BARCO CENTENERA DEL 100,40,159000,10017000,3975,53,NO,63,PRIMER,CABALLITO,6
BARCO CENTENERA DEL 100,175,770000,48510000,4400,30,NO,63,PRIMER,CABALLITO,6
BARCO CENTENERA DEL 150,18,50000,3150000,2778,45,NO,63,PRIMER,CABALLITO,6
BARCO CENTENERA DEL 400,180,600000,37800000,3333,20,NO,63,PRIMER,CABALLITO,6
BONIFACIO JOSE 300,27,65000,4095000,2407,40,NO,63,PRIMER,CABALLITO,6
CACHIMAYO 11,8,88000,5544000,11000,43,NO,63,PRIMER,CABALLITO,6
CAMPICHUELO 600,480,320000,20160000,667,25,NO,63,PRIMER,CABALLITO,6
DIAZ VELEZ 4700,53,170000,10710000,3208,0,NO,63,PRIMER,CABALLITO,6
DIAZ VELEZ 5100,600,1050000,66150000,1750,0,NO,63,PRIMER,CABALLITO,6
DIAZ VELEZ 5501,300,1100000,69300000,3667,0,NO,63,PRIMER,CABALLITO,6
DIRECTORIO 1650,265,580000,36540000,2189,60,NO,63,PRIMER,CABALLITO,6
FORMOSA 300,150,330000,20790000,2200,6,NO,63,PRIMER,CABALLITO,6
FORMOSA 389,180,330000,20790000,1833,5,NO,63,PRIMER,CABALLITO,6
FORMOSA 50,177,390000,24570000,2203,60,NO,63,PRIMER,CABALLITO,6
GAINZA MARTIN DE  GRAL. 500,22,59800,3767400,2718,2,NO,63,PRIMER,CABALLITO,6
GALLARDO ANGEL 1000,36,270000,17010000,7500,0,NO,63,PRIMER,CABALLITO,6
GALLARDO ANGEL 1084,72,295000,18585000,4097,18,NO,63,PRIMER,CABALLITO,6
GALLARDO ANGEL 599,350,470000,29610000,1343,50,NO,63,PRIMER,CABALLITO,6
GAONA 1500,100,300000,18900000,3000,0,NO,63,PRIMER,CABALLITO,6
GAONA 1600,128,170000,10710000,1328,70,NO,63,PRIMER,CABALLITO,6
GARCIA LORCA FEDERICO 359,1214,950000,59850000,783,30,NO,63,PRIMER,CABALLITO,6
GOYENA PEDRO 0,260,680000,42840000,2615,0,NO,63,PRIMER,CABALLITO,6
GUAYAQUIL 844,28,91000,5733000,3250,45,NO,63,PRIMER,CABALLITO,6
JUSTO JUAN B. 4040,105,295000,18585000,2810,45,NO,63,PRIMER,CABALLITO,6
JUSTO JUAN B. 4100,115,149900,9443700,1303,0,NO,63,PRIMER,CABALLITO,6
JUSTO JUAN B. 4100,70,250000,15750000,3571,50,NO,63,PRIMER,CABALLITO,6
LA PLATA 780,74,350000,22050000,4730,57,NO,63,PRIMER,CABALLITO,6
MARECHAL LEOPOLDO 1100,44,100000,6300000,2273,0,NO,63,PRIMER,CABALLITO,6
MORENO JOSE MARIA 200,115,840000,52920000,7304,36,NO,63,PRIMER,CABALLITO,6
NEUQUEN 944,200,339000,21357000,1695,86,NO,63,PRIMER,CABALLITO,6
OLAYA 1000,73,250000,15750000,3425,0,NO,63,PRIMER,CABALLITO,6
OROÑO NICASIO 1500,25,54000,3402000,2160,0,NO,63,PRIMER,CABALLITO,6
OROÑO NICASIO 600,80,105000,6615000,1312,35,NO,63,PRIMER,CABALLITO,6
PAYSANDU 1048,30,99000,6237000,3300,0,NO,63,PRIMER,CABALLITO,6
PUEYRREDON HONORIO  DR. 500,90,850000,53550000,9444,15,NO,63,PRIMER,CABALLITO,6
PUEYRREDON HONORIO  DR. 600,139,560000,35280000,4029,30,NO,63,PRIMER,CABALLITO,6
PUEYRREDON HONORIO  DR. 792,250,390000,24570000,1560,0,NO,63,PRIMER,CABALLITO,6
RIGLOS 750,110,299200,18849600,2720,0,SI,63,PRIMER,CABALLITO,6
RIVADAVIA 4900,31,195000,12285000,6290,0,NO,63,PRIMER,CABALLITO,6
RIVADAVIA 5000,26,250000,15750000,9615,40,NO,63,PRIMER,CABALLITO,6
RIVADAVIA 5500,8,19500,1228500,2438,50,NO,63,PRIMER,CABALLITO,6
RIVADAVIA 5601,25,45000,2835000,1800,10,NO,63,PRIMER,CABALLITO,6
RIVADAVIA 6100,164,360000,22680000,2195,0,NO,63,PRIMER,CABALLITO,6
RIVADAVIA 6100,153,765000,48195000,5000,30,NO,63,PRIMER,CABALLITO,6
ROJAS 410,30,139000,8757000,4633,30,NO,63,PRIMER,CABALLITO,6
SENILLOSA 400,18,83000,5229000,4611,20,NO,63,PRIMER,CABALLITO,6
TRES ARROYOS 1500,50,120000,7560000,2400,40,NO,63,PRIMER,CABALLITO,6
VIEL 500,115,150000,9450000,1304,50,NO,63,PRIMER,CABALLITO,6
YERBAL 800,57,232000,14616000,4070,0,NO,63,PRIMER,CABALLITO,6
BONPLAND 821,20,54000,3402000,2700,50,NO,63,PRIMER,CHACARITA,15
CALDAS 300,199,210000,13230000,1055,70,NO,63,PRIMER,CHACARITA,15
CASTILLO 1500,23,55000,3465000,2391,7,NO,63,PRIMER,CHACARITA,15
CORDOBA 5700,100,225000,14175000,2250,5,NO,63,PRIMER,CHACARITA,15
CORDOBA 6275,128,800000,50400000,6250,0,NO,63,PRIMER,CHACARITA,15
CORRIENTES 6300,99,190000,11970000,1919,15,NO,63,PRIMER,CHACARITA,15
CORRIENTES 6400,75,189900,11963700,2532,0,NO,63,PRIMER,CHACARITA,15
DORREGO 1600,128,400000,25200000,3125,6,NO,63,PRIMER,CHACARITA,15
FOREST 1100,120,255000,16065000,2125,0,NO,63,PRIMER,CHACARITA,15
FOREST 300,535,780000,49140000,1458,40,NO,63,PRIMER,CHACARITA,15
FOREST 300,44,125000,7875000,2841,0,NO,63,PRIMER,CHACARITA,15
FOREST 300,200,186000,11718000,930,40,NO,63,PRIMER,CHACARITA,15
FOREST 317,200,350000,22050000,1750,80,NO,63,PRIMER,CHACARITA,15
GUEVARA 500,40,139900,8813700,3498,0,NO,63,PRIMER,CHACARITA,15
LACROZE FEDERICO 3600,22,35000,2205000,1591,50,NO,63,PRIMER,CHACARITA,15
LACROZE FEDERICO 3600,90,250000,15750000,2778,0,NO,63,PRIMER,CHACARITA,15
LACROZE FEDERICO 4000,1342,1350000,85050000,1006,0,NO,63,PRIMER,CHACARITA,15
LEIVA 4400,45,68000,4284000,1511,42,NO,63,PRIMER,CHACARITA,15
LEMOS JUAN GREGORIO  GRAL. 200,25,79900,5033700,3196,2,NO,63,PRIMER,CHACARITA,15
OLLEROS 4144,94,390000,24570000,4149,0,SI,63,PRIMER,CHACARITA,15
RAMIREZ DE VELAZCO JUAN 1500,26,75000,4725000,2885,30,SI,63,PRIMER,CHACARITA,15
ROSETI 900,237,349000,21987000,1473,35,NO,63,PRIMER,CHACARITA,15
VERA 1400,88,210000,13230000,2386,0,NO,63,PRIMER,CHACARITA,15
ASAMBLEA 1500,20,65000,4095000,3250,6,NO,63,PRIMER,PARQUE CHACABUCO,7
BALBASTRO 1600,430,295000,18585000,686,80,NO,63,PRIMER,PARQUE CHACABUCO,7
BARCO CENTENERA DEL 1651,404,265000,16695000,656,10,NO,63,PRIMER,PARQUE CHACABUCO,7
BARCO CENTENERA DEL 1700,42,74500,4693500,1774,0,NO,63,PRIMER,PARQUE CHACABUCO,7
BARCO CENTENERA DEL 1900,302,220000,13860000,728,0,NO,63,PRIMER,PARQUE CHACABUCO,7
BARCO CENTENERA DEL 2100,83,99000,6237000,1193,60,NO,63,PRIMER,PARQUE CHACABUCO,7
BARCO CENTENERA DEL 2200,66,59000,3717000,894,0,NO,63,PRIMER,PARQUE CHACABUCO,7
COBO 1300,235,179000,11277000,762,45,NO,63,PRIMER,PARQUE CHACABUCO,7
COBO 676,400,390000,24570000,975,25,NO,63,PRIMER,PARQUE CHACABUCO,7
DIRECTORIO 1000,120,420000,26460000,3500,6,NO,63,PRIMER,PARQUE CHACABUCO,7
DIRECTORIO 1200,96,560000,35280000,5833,5,NO,63,PRIMER,PARQUE CHACABUCO,7
DIRECTORIO 471,162,450000,28350000,2778,0,NO,63,PRIMER,PARQUE CHACABUCO,7
DIRECTORIO 571,85,401200,25275600,4720,0,NO,63,PRIMER,PARQUE CHACABUCO,7
LA PLATA 1200,104,320000,20160000,3077,0,NO,63,PRIMER,PARQUE CHACABUCO,7
LA PLATA 1200,86,280000,17640000,3256,45,NO,63,PRIMER,PARQUE CHACABUCO,7
LA PLATA 1300,568,720000,45360000,1268,50,NO,63,PRIMER,PARQUE CHACABUCO,7
LA PLATA 1600,198,220000,13860000,1111,70,NO,63,PRIMER,PARQUE CHACABUCO,7
LA PLATA 1600,1453,1690000,106470000,1163,70,NO,63,PRIMER,PARQUE CHACABUCO,7
LA PLATA 1880,135,200000,12600000,1481,50,NO,63,PRIMER,PARQUE CHACABUCO,7
LA PLATA 2100,136,160000,10080000,1176,60,NO,63,PRIMER,PARQUE CHACABUCO,7
MORENO JOSE MARIA 1727,354,285000,17955000,805,50,NO,63,PRIMER,PARQUE CHACABUCO,7
PERON EVA 2000,135,190000,11970000,1407,50,NO,63,PRIMER,PARQUE CHACABUCO,7
PUAN 2080,220,295000,18585000,1341,60,NO,63,PRIMER,PARQUE CHACABUCO,7
SAN JOSE DE CALASANZ 817,40,89000,5607000,2225,0,NO,63,PRIMER,PARQUE CHACABUCO,7
THORNE 1356,30,50000,3150000,1667,20,NO,63,PRIMER,PARQUE CHACABUCO,7
VEDIA AGUSTIN DE 2100,900,700000,44100000,778,0,NO,63,PRIMER,PARQUE CHACABUCO,7
VERNET 109,59,115000,7245000,1949,0,NO,63,PRIMER,PARQUE CHACABUCO,7
VERNET 196,160,360000,22680000,2250,15,NO,63,PRIMER,PARQUE CHACABUCO,7
VERNET 300,24,57000,3591000,2375,0,NO,63,PRIMER,PARQUE CHACABUCO,7
ZELARRAYAN 500,432,320000,20160000,741,59,NO,63,PRIMER,PARQUE CHACABUCO,7
ZUVIRIA 1100,115,380000,23940000,3304,87,NO,63,PRIMER,PARQUE CHACABUCO,7
ZUVIRIA 200,60,110000,6930000,1833,40,NO,63,PRIMER,PARQUE CHACABUCO,7
COMBATIENTES DE MALVINAS 3000,3700,8000000,504000000,2162,25,NO,63,PRIMER,PARQUE CHAS,15
DE LOS CONSTITUYENTES 3600,56,120000,7560000,2143,40,NO,63,PRIMER,PARQUE CHAS,15
ALVAREZ JONTE 2200,200,400000,25200000,2000,0,NO,63,PRIMER,PATERNAL,15
CHORROARIN 700,88,145000,9135000,1648,55,NO,63,PRIMER,PATERNAL,15
CHORROARIN 701,88,145000,9135000,1648,55,NO,63,PRIMER,PATERNAL,15
CUCHA CUCHA 2500,35,62500,3937500,1786,35,NO,63,PRIMER,PATERNAL,15
CUCHA CUCHA 2791,77,65000,4095000,844,40,NO,63,PRIMER,PATERNAL,15
LAMAS ANDRES 2400,438,495000,31185000,1130,50,NO,63,PRIMER,PATERNAL,15
MATURIN 2300,546,600000,37800000,1099,35,NO,63,PRIMER,PATERNAL,15
RODRIGUEZ MANUEL A.  GRAL 2749,220,450000,28350000,2045,20,NO,63,PRIMER,PATERNAL,15
SAN MARTIN 2600,24,39000,2457000,1625,30,SI,63,PRIMER,PATERNAL,15
TRELLES MANUEL R. 2600,250,275000,17325000,1100,40,NO,63,PRIMER,PATERNAL,15
WARNES 1600,174,300000,18900000,1724,0,NO,63,PRIMER,PATERNAL,15
WARNES 1600,120,340000,21420000,2833,40,NO,63,PRIMER,PATERNAL,15
WARNES 1700,180,330000,20790000,1833,0,NO,63,PRIMER,PATERNAL,15
YERUA 5000,35,160000,10080000,4571,0,NO,63,PRIMER,PATERNAL,15
ACHA MARIANO  GRAL. 3900,45,69000,4347000,1533,47,NO,63,PRIMER,SAAVEDRA,12
ACHA MARIANO  GRAL. 4500,60,115000,7245000,1917,40,NO,63,PRIMER,SAAVEDRA,12
BALBIN RICARDO  DR. 3695,80,450000,28350000,5625,1,NO,63,PRIMER,SAAVEDRA,12
BALBIN RICARDO  DR. 3700,124,400000,25200000,3226,0,NO,63,PRIMER,SAAVEDRA,12
BALBIN RICARDO  DR. 3741,146,372000,23436000,2548,0,NO,63,PRIMER,SAAVEDRA,12
BALBIN RICARDO  DR. 4342,37,124000,7812000,3351,3,NO,63,PRIMER,SAAVEDRA,12
CABILDO 4400,500,1200000,75600000,2400,0,NO,63,PRIMER,SAAVEDRA,12
CIUDAD DE LA PAZ 3700,204,540000,34020000,2647,0,SI,63,PRIMER,SAAVEDRA,12
LARRALDE CRISOLOGO 3600,85,390000,24570000,4588,5,NO,63,PRIMER,SAAVEDRA,12
MILLER 4200,78,200000,12600000,2564,0,SI,63,PRIMER,SAAVEDRA,12
PAROISSIEN 4100,100,75000,4725000,750,0,NO,63,PRIMER,SAAVEDRA,12
PAROISSIEN 4400,40,135000,8505000,3375,0,NO,63,PRIMER,SAAVEDRA,12
PLAZA 3977,90,150000,9450000,1667,50,NO,63,PRIMER,SAAVEDRA,12
PLAZA 4171,49,71000,4473000,1449,39,NO,63,PRIMER,SAAVEDRA,12
RUIZ HUIDOBRO 3054,70,210000,13230000,3000,50,NO,63,PRIMER,SAAVEDRA,12
RUIZ HUIDOBRO 3200,290,299000,18837000,1031,40,NO,63,PRIMER,SAAVEDRA,12
RUIZ HUIDOBRO 4000,57,89000,5607000,1561,35,NO,63,PRIMER,SAAVEDRA,12
SAN ISIDRO LABRADOR 4600,20,115000,7245000,5750,37,NO,63,PRIMER,SAAVEDRA,12
TRONADOR 3800,130,265000,16695000,2038,60,NO,63,PRIMER,SAAVEDRA,12
TRONADOR 3900,81,145000,9135000,1790,35,NO,63,PRIMER,SAAVEDRA,12
VEDIA 2400,120,650000,40950000,5417,0,NO,63,PRIMER,SAAVEDRA,12
ACEVEDO 1000,400,650000,40950000,1625,0,NO,63,PRIMER,VILLA CRESPO,15
ACEVEDO 700,30,125000,7875000,4167,35,NO,63,PRIMER,VILLA CRESPO,15
AGUIRRE 500,24,200000,12600000,8333,30,NO,63,PRIMER,VILLA CRESPO,15
AGUIRRE 600,96,420000,26460000,4375,0,NO,63,PRIMER,VILLA CRESPO,15
AGUIRRE 600,150,790000,49770000,5267,10,NO,63,PRIMER,VILLA CRESPO,15
AGUIRRE 700,78,450000,28350000,5769,0,NO,63,PRIMER,VILLA CRESPO,15
AGUIRRE 852,350,1850000,116550000,5286,6,NO,63,PRIMER,VILLA CRESPO,15
ALVAREZ JULIAN 500,98,200000,12600000,2041,40,NO,63,PRIMER,VILLA CRESPO,15
ALVAREZ JULIAN 500,98,213000,13419000,2173,40,NO,63,PRIMER,VILLA CRESPO,15
ALVAREZ JULIAN 600,135,168000,10584000,1244,35,NO,63,PRIMER,VILLA CRESPO,15
ALVAREZ JULIAN 600,157,300000,18900000,1911,0,NO,63,PRIMER,VILLA CRESPO,15
ALVAREZ JULIAN 678,45,160000,10080000,3556,35,NO,63,PRIMER,VILLA CRESPO,15
ALVAREZ JULIAN 700,159,170000,10710000,1069,49,NO,63,PRIMER,VILLA CRESPO,15
ALVAREZ JULIAN 800,100,215000,13545000,2150,0,NO,63,PRIMER,VILLA CRESPO,15
ARAOZ 105,114,162000,10206000,1421,30,NO,63,PRIMER,VILLA CRESPO,15
ARAOZ 200,80,200000,12600000,2500,30,NO,63,PRIMER,VILLA CRESPO,15
ARAOZ 600,90,170000,10710000,1889,30,SI,63,PRIMER,VILLA CRESPO,15
BELAUSTEGUI LUIS  DR. 900,495,950000,59850000,1919,0,NO,63,PRIMER,VILLA CRESPO,15
CAMARGO 300,56,128000,8064000,2286,0,NO,63,PRIMER,VILLA CRESPO,15
CAMARGO 400,25,97000,6111000,3880,30,NO,63,PRIMER,VILLA CRESPO,15
CAMARGO 700,70,150000,9450000,2143,40,NO,63,PRIMER,VILLA CRESPO,15
CASTILLO 100,30,125000,7875000,4167,35,SI,63,PRIMER,VILLA CRESPO,15
CASTILLO 200,50,153000,9639000,3060,30,SI,63,PRIMER,VILLA CRESPO,15
CASTILLO 600,100,350000,22050000,3500,8,NO,63,PRIMER,VILLA CRESPO,15
CASTILLO 600,90,520000,32760000,5778,10,NO,63,PRIMER,VILLA CRESPO,15
CASTILLO 600,19,135000,8505000,7105,22,NO,63,PRIMER,VILLA CRESPO,15
CORDOBA 4301,440,1800000,113400000,4091,30,NO,63,PRIMER,VILLA CRESPO,15
CORDOBA 5022,198,1150000,72450000,5808,20,NO,63,PRIMER,VILLA CRESPO,15
CORDOBA 5100,713,1500000,94500000,2104,0,NO,63,PRIMER,VILLA CRESPO,15
CORDOBA 5160,1678,2700000,170100000,1608,1,NO,63,PRIMER,VILLA CRESPO,15
CORRIENTES 4900,474,640000,40320000,1350,40,NO,63,PRIMER,VILLA CRESPO,15
CORRIENTES 4900,220,399000,25137000,1814,60,NO,63,PRIMER,VILLA CRESPO,15
CORRIENTES 5000,103,299000,18837000,2903,40,NO,63,PRIMER,VILLA CRESPO,15
CORRIENTES 5200,21,34900,2198700,1662,0,NO,63,PRIMER,VILLA CRESPO,15
CORRIENTES 5200,15,40000,2520000,2667,53,NO,63,PRIMER,VILLA CRESPO,15
CORRIENTES 5200,30,95000,5985000,3167,50,NO,63,PRIMER,VILLA CRESPO,15
CORRIENTES 5200,26,95000,5985000,3654,40,SI,63,PRIMER,VILLA CRESPO,15
CORRIENTES 5400,260,2800000,176400000,10769,20,NO,63,PRIMER,VILLA CRESPO,15
CORRIENTES 5500,180,269000,16947000,1494,0,NO,63,PRIMER,VILLA CRESPO,15
CORRIENTES 5600,32,279000,17577000,8719,45,NO,63,PRIMER,VILLA CRESPO,15
CORRIENTES 5700,564,600000,37800000,1064,45,NO,63,PRIMER,VILLA CRESPO,15
DORREGO 223,185,330000,20790000,1784,0,NO,63,PRIMER,VILLA CRESPO,15
DORREGO 300,150,160000,10080000,1067,65,NO,63,PRIMER,VILLA CRESPO,15
DORREGO 311,150,160000,10080000,1067,65,NO,63,PRIMER,VILLA CRESPO,15
DRAGO LUIS MARIA 100,360,410000,25830000,1139,55,NO,63,PRIMER,VILLA CRESPO,15
DRAGO LUIS MARIA 300,40,149000,9387000,3725,45,NO,63,PRIMER,VILLA CRESPO,15
FIGUEROA APOLINARIO  CNEL. 100,350,440000,27720000,1257,0,NO,63,PRIMER,VILLA CRESPO,15
FITZ ROY 0,130,285000,17955000,2192,40,NO,63,PRIMER,VILLA CRESPO,15
FITZ ROY 100,130,265000,16695000,2038,0,NO,63,PRIMER,VILLA CRESPO,15
FITZ ROY 100,130,285000,17955000,2192,40,NO,63,PRIMER,VILLA CRESPO,15
FRIAS  EUSTAQUIO  TTE. GRAL. 200,115,210000,13230000,1826,3,NO,63,PRIMER,VILLA CRESPO,15
GODOY CRUZ 1200,428,690000,43470000,1612,40,NO,63,PRIMER,VILLA CRESPO,15
GURRUCHAGA 1000,120,750000,47250000,6250,0,NO,63,PRIMER,VILLA CRESPO,15
GURRUCHAGA 1001,90,690000,43470000,7667,0,NO,63,PRIMER,VILLA CRESPO,15
GURRUCHAGA 100,84,225999,14237937,2690,40,NO,63,PRIMER,VILLA CRESPO,15
GURRUCHAGA 300,60,150000,9450000,2500,0,NO,63,PRIMER,VILLA CRESPO,15
GURRUCHAGA 785,144,1300000,81900000,9028,0,NO,63,PRIMER,VILLA CRESPO,15
GURRUCHAGA 800,93,980000,61740000,10538,8,NO,63,PRIMER,VILLA CRESPO,15
GURRUCHAGA 800,80,900000,56700000,11250,4,NO,63,PRIMER,VILLA CRESPO,15
GURRUCHAGA 800,160,865000,54495000,5406,20,NO,63,PRIMER,VILLA CRESPO,15
GURRUCHAGA 900,230,980000,61740000,4261,5,NO,63,PRIMER,VILLA CRESPO,15
GURRUCHAGA 900,300,1700000,107100000,5667,3,NO,63,PRIMER,VILLA CRESPO,15
